TIME;AMS CCS811 - TVOC;AMS CCS811 - eCO2;BH1730FVC - Light;Battery SCK;ICS43432 - Noise;MPL3115A2 - Barometric Pressure;SHT31 - Humidity;SHT31 - Temperature
17:25:00;1.0;411.0;371.57142857142856;98.0;61.64714285714285;101.35571428571428;50.17857142857143;19.44142857142857
17:26:00;58.857142857142854;788.8571428571429;313.14285714285717;98.0;51.12428571428571;101.35285714285715;49.77857142857143;19.851428571428574
17:27:00;85.0;959.2;107.4;98.0;53.446000000000005;101.34700000000001;51.979000000000006;18.946
17:28:00;77.5;910.0;157.5;98.0;60.9875;101.35;55.6225;16.412499999999998
17:29:00;85.5;964.5;109.0;98.0;63.44;101.36;59.86;13.995
17:30:00;170.2;1434.6;26.6;98.0;72.042;101.27000000000001;79.252;15.578
17:31:00;3456.1666666666665;3147.5833333333335;40.75;98.0;65.88833333333334;101.17416666666666;101.59499999999998;22.31083333333333
17:32:00;8438.833333333334;5615.75;49.416666666666664;97.75;69.52666666666667;101.15083333333332;101.47500000000001;30.396666666666672
17:33:00;9007.0;5887.0;45.22222222222222;98.0;97.1888888888889;101.1511111111111;102.05000000000001;31.755555555555564
17:34:00;8660.0;5716.0;62.142857142857146;96.14285714285714;86.63857142857144;101.25;101.77142857142857;23.06
17:35:00;8551.5;5664.0;47.666666666666664;95.91666666666667;98.70083333333334;101.31166666666662;101.86333333333333;19.575833333333335
17:36:00;8361.75;5572.833333333333;41.25;96.0;79.20083333333334;101.3125;97.82083333333333;15.192500000000003
17:37:00;10573.09090909091;6607.454545454545;22.727272727272727;96.0;80.73545454545454;101.37272727272726;80.42727272727274;13.942727272727273
17:38:00;8806.0;5784.428571428572;49.42857142857143;96.71428571428571;91.89;101.28857142857144;50.758571428571436;20.17285714285714
17:39:00;4014.75;3543.0;398.75;97.0;102.97249999999998;101.24666666666667;48.318333333333335;22.901666666666667
17:40:00;2696.0;2927.5;434.75;97.0;103.0775;101.25583333333333;46.60666666666666;23.155
17:41:00;1698.909090909091;2460.181818181818;447.6363636363636;97.0;103.16090909090909;101.25545454545454;45.960909090909084;23.15818181818182
17:42:00;1288.5;2269.0;444.5833333333333;97.0;103.08749999999999;101.25916666666666;47.274166666666666;23.244999999999994
17:43:00;1002.5;2132.0;445.25;97.0;103.02083333333333;101.25916666666667;46.0975;23.335833333333326
17:44:00;684.0;1962.0;437.9166666666667;97.0;102.9425;101.25916666666667;45.73916666666667;23.284166666666668
17:45:00;563.1818181818181;1884.0;438.90909090909093;97.0;102.90818181818182;101.25545454545454;46.43727272727273;23.240909090909096
17:46:00;471.5;1815.5;439.75;97.0;103.01416666666667;101.2575;46.255833333333335;23.272500000000004
17:47:00;381.25;1740.75;436.8333333333333;97.0;102.82499999999999;101.255;46.303333333333335;23.265
17:48:00;327.72727272727275;1688.7272727272727;436.0;97.0;102.8218181818182;101.25272727272727;46.153636363636366;23.19909090909091
17:49:00;295.0;1656.0;435.0;97.0;102.49;101.25;46.15;23.16
